island;group;type;country;inhabited;area;inhabitants;tourism;land_nat;land_semi;land_anthro;syn;isolation_100;isolation_80;isolation_60;isolation_40;isolation_20;isolation_10;habitat_heter;density_inh;density_tou;totnat;totinv;totspec;percinv;percnat;totnat_stdz;totinv_stdz;area_log;land_anthro_sqrt;density_tou_sqrt;tourism_sqrt;inhabitants_sqrt
Texel;West Frisian;Geestkern;Netherlands;yes;16235;13575;178930;28,5;0,8;70,8;texel;28,29;24,78;21,15;17,1;11,91;7,82;1,69;0,836;11,022;824;236;1060;22,3;77,7;1;1;9,694924685;8,414273587;3,319939758;423,001182;116,5122311
Vlieland;West Frisian;true_barrier;Netherlands;yes;3538;1155;2,00E+05;100;0;0;vilieland;24,85;22,68;20,95;13,37;9,07;7,63;1,2;0,326;56,535;568;87;655;13,3;86,7;0,689320388;0,368644068;8,171316875;0;7,518975994;447,2135955;33,98676213
Terschelling;West Frisian;true_barrier;Netherlands;yes;8527;4888;4,00E+05;75,8;0;24,2;terschelling;26,53;26,07;23,82;19,38;8,35;4,13;1,65;0,573;46,912;769;184;953;19,3;80,7;0,933252427;0,779661017;9,050992879;4,91934955;6,849233534;632,455532;69,91494833
Ameland;West Frisian;true_barrier;Netherlands;yes;5942;3716;4,00E+05;53,8;0;46,2;ameland;33,4;31,73;32,45;31,59;25,15;9,03;1,53;0,625;67,316;643;168;811;20,7;79,3;0,780339806;0,711864407;8,689801056;6,797058187;8,204632838;632,455532;60,95982283
Schiermonnikoog;West Frisian;true_barrier;Netherlands;yes;3944;947;3,00E+05;92,1;0;7,9;schiermonnikoog;40,22;41,54;41,01;37,96;30,92;13,57;1,51;0,24;76,072;613;122;735;16,6;83,4;0,743932039;0,516949153;8,279950716;2,810693865;8,721926393;547,7225575;30,77498985
Rottumerplaat;West Frisian;true_barrier;Netherlands;no;801;0;0;100;0;0;rottumeroog;43,52;43,86;41,29;34,11;24,5;4,16;0,59;0;0;136;13;149;8,7;91,3;0,165048544;0,055084746;6,685860947;0;0;0;0,316227766
Rottumeroog;West Frisian;true_barrier;Netherlands;no;294;0;0;100;0;0;rottumerplaat;45,09;45,45;43,22;36,28;24,72;10,62;0,47;0;0;139;11;150;7,3;92,7;0,16868932;0,046610169;5,683579767;0;0;0;0,316227766
Borkum;East Frisian;true_barrier;Germany;yes;3327;5002;205719;81,4;0,7;17,9;borkum;42,38;42,89;40,01;33,18;13;2,42;2,13;1,504;61,842;701;112;813;13,8;86,2;0,850728155;0,474576271;8,109826276;4,23083916;7,863968464;453,5625646;70,7255258
Lütje Hörn;East Frisian;true_barrier;Germany;no;8;0;0;100;0;0;luetje_hoern;43,96;44,61;42,06;35,59;16,32;8,65;0;0;0;61;5;66;7,6;92,4;0,074029126;0,021186441;2,079441542;0;0;0;0,316227766
Memmert;East Frisian;true_barrier;Germany;semi;651;1;0;100;0;0;memmert;40,71;40,53;37,17;29,79;10,67;6,44;0,81;0,002;0;290;24;314;7,6;92,4;0,351941748;0,101694915;6,478509642;0;0;0;1,048808848
Juist;East Frisian;true_barrier;Germany;yes;1689;1534;97806;91,2;0;8,8;juist;39,22;37,58;35,67;29,07;18,06;9,07;1,56;0,908;57,907;612;90;702;12,8;87,2;0,742718447;0,381355932;7,431891917;2,966479395;7,609664907;312,7395082;39,16758864
Noderney;East Frisian;true_barrier;Germany;yes;2673;6032;283516;79,8;0;20,2;norderney;39,51;35,99;33,79;32,23;27,9;22,41;1,83;2,257;106,068;645;118;763;15,5;84,5;0,78276699;0,5;7,890956716;4,494441011;10,29893198;532,4622052;77,66659514
Baltrum;East Frisian;true_barrier;Germany;yes;673;599;42861;88,1;0;11,9;baltrum;40,08;36,65;33,74;36,78;36,3;29,8;1,75;0,89;63,687;475;56;531;10,5;89,5;0,576456311;0,237288136;6,51174533;3,449637662;7,980413523;207,0289835;24,47651936
Langeoog;East Frisian;true_barrier;Germany;yes;2076;1812;130724;81,6;0;18,4;langeroog;42,28;37,71;32,66;35,81;36,15;23,33;2,01;0,873;62,955;558;67;625;10,7;89,3;0,677184466;0,283898305;7,638198244;4,289522118;7,934418693;361,5577409;42,56876789
Spiekeroog;East Frisian;true_barrier;Germany;yes;1926;843;70133;96,3;0;3,7;spiekeroog;44,68;38,81;35,18;32,39;28,98;16,02;1,6;0,438;36,411;483;55;538;10,2;89,8;0,586165049;0,233050847;7,563200592;1,923538406;6,034152799;264,8263582;29,03618432
Wangerooge;East Frisian;true_barrier;Germany;yes;643;1214;83104;66,4;0;33,6;wangeroog;47,53;42,11;37,9;29,15;21,78;12,99;1,79;1,887;129,194;534;72;606;11,9;88,1;0,648058252;0,305084746;6,466144724;5,796550698;11,36635386;288,2776439;34,84393778
Minsener Oog;East Frisian;true_barrier;Germany;no;378;0;0;100;0;0;minsener_oog;51,2;46,93;42,7;33,4;24,64;17,54;0,06;0;0;178;22;200;11;89;0,216019417;0,093220339;5,934894196;0;0;0;0,316227766
Mellum;East Frisian/Watten im Elbe-Weser-Dreieck;true_barrier;Germany;semi;392;1;0;100;0;0;mellum;56,1;53,53;48,94;41,9;23,15;6,22;1,07;0,003;0;293;30;323;9,3;90,7;0,355582524;0,127118644;5,97126184;0;0;0;1,048808848
Scharhörn;North Frisian;true_barrier;Germany;semi;37;1;0;100;0;0;scharhoern;55,07;48,83;39,06;19,45;6,16;1;0;0,027;0;224;26;250;10,4;89,6;0,27184466;0,110169492;3,610917913;0;0;0;1,048808848
Nigehörn;North Frisian;true_barrier;Germany;no;282;0;0;100;0;0;nigehoern;54,97;48,52;38,66;19,67;5,71;1,05;0,01;0;0;192;19;211;9;91;0,233009709;0,080508475;5,641907071;0;0;0;0,316227766
Neuwerk;North Frisian;true_barrier;Germany;yes;360;25;1,00E+05;52;0;48;neuwerk;58,15;52,69;44,26;26,9;13,31;3,87;0,69;0,069;278;369;41;410;10;90;0,447815534;0,173728814;5,886104031;6,92820323;16,673332;316,227766;5,00999002
Pellworm;North Frisian;Geestkern;Germany;yes;3802;1203;160000;2;0;98;pellworm;48,46;46,31;45,02;43,2;30,35;6,64;0,96;0,316;42,082;278;47;325;14,5;85,5;0,337378641;0,199152542;8,243282523;9,899494937;6,487064051;400;34,68573194
Hooge;North Frisian;Hallig;Germany;yes;600;103;90000;100;0;0;hooge;43,76;40,89;38,5;34,22;16,69;11,83;0;0,172;150,072;163;29;192;15,1;84,9;0,197815534;0,122881356;6,396929655;0;12,25038775;300;10,15381702
Nordmarsch-Langeneß;North Frisian;Hallig;Germany;yes;1154;129;15000;100;0;0;langeness;46,43;44,38;43,77;42,16;31,67;17,1;0;0,112;13;142;17;159;10,7;89,3;0,172330097;0,072033898;7,050989447;0;3,605551275;122,4744871;11,36221809
Gröde;North Frisian;Hallig;Germany;yes;268;11;8000;100;0;0;groede;51,12;50,38;51,58;53,48;46,83;26,52;0;0,041;29,884;128;14;142;9,9;90,1;0,155339806;0,059322034;5,590986981;0;5,466626016;89,4427191;3,33166625
Amrum;North Frisian;Geestkern;Germany;yes;2257;2311;75000;76,5;0;23,5;amrum;37,61;32,88;28,61;20,45;9,85;9,38;1,93;1,024;33,23;573;155;728;21,3;78,7;0,69538835;0,656779661;7,721791777;4,847679857;5,764546817;273,8612788;48,07390144
Föhr;North Frisian;Geestkern;Germany;yes;8448;8321;212709;4,1;0;95,9;foer;43,61;40,65;38,44;33,92;25,62;12,48;1,23;0,985;25,18;604;140;744;18,8;81,2;0,733009709;0,593220339;9,041685006;9,792854538;5,017967716;461,2038595;91,22006358
Sylt;North Frisian;Geestkern;Germany;yes;9920;13818;9,00E+05;48,7;0,7;50,6;sylt;42,03;39,74;35,17;27,5;18,49;6,24;2,27;1,393;90,726;678;234;912;25,7;74,3;0,822815534;0,991525424;9,2023082;7,113367698;9,525019685;948,6832981;117,5504147
Rømø;North Frisian;Geestkern;Denmark;yes;12886;559;7,00E+05;59,2;7,9;32,9;romo;50,44;50,91;50,51;46,83;34,46;21,04;1,96;0,043;54,323;679;124;803;15,4;84,6;0,824029126;0,525423729;9,46389673;5,73585216;7,370413828;836,6600265;23,64529552
Mandø;North Frisian;Geestkern;Denmark;yes;763;38;80000;25,9;0;74,1;mando;50,85;55,16;56,3;53,58;43,2;25,43;0,72;0,05;104,849;334;44;378;11,6;88,4;0,405339806;0,186440678;6,637258031;8,608135687;10,23958007;282,8427125;6,172519745
Fanø;North Frisian;Geestkern;Denmark;yes;6138;3488;250000;73,7;6;20,3;fano;43,05;46,98;50,32;48,68;41,07;23,01;1,95;0,568;40,732;533;110;643;17,1;82,9;0,64684466;0,466101695;8,722254235;4,50555213;6,382162643;500;59,06013884
